Thiago H. Silva
Shayok Chakraborty
Ramakrishnan Srikant
Jing Yuan
Yang Li
Ke Zhang
Peng Zhang
Ravi Kumar
Feng Chen
Aditya Krishna Menon
Vincent Leroy
Carlos D. Correa
Jun Zhou
Dan Feldman
Chong Wang
Guan Wang
Weinan Zhang
Yangqiu Song
Zhenyu Lu
Jian Tang
Ron Kohavi
Shuai Wang
Liang Zhao
Jia Wang
Senzhang Wang
Ingo Scholtes
Hongfu Liu
Claudia Perlich
Paulo Shakarian
Ian Davidson
Shuiwang Ji
Senjuti Basu Roy
Xinyue Liu
Shen Wang
Mounia Lalmas
Lifang He
Ji Wang
Xiang Wang
Le Yu
Zhi Li
Tova Milo
Jian Fan
Xin Xia
Liangjie Hong
Shuai Huang
Zhou Zhao
Michael Feldman
Hao Wang
Wei Feng
Wei Lu
Andreas Holzinger
Hongbo Deng
Gunhee Kim
Shuo Chen
Alan Ritter
Graham Cormode
Furu Wei
Pengfei Wang
Quan Yuan
Jingyuan Wang
Yue Cao
Anirban Dasgupta
Deepayan Chakrabarti
Ye Chen
Chang Xu
Thanawin Rakthanmanon
Yuefeng Li
Yu Sun
Yan Zhou
Dan Zhang
Hannu Toivonen
Xiaopeng Li
Ramesh Johari
Yongxin Tong
Daniel Kifer
Ying Shan
Gustavo E. A. P. A. Batista
Xiangnan Kong
Ke Zhou
Jaewoo Lee
Rainer Gemulla
Ye Wang
Xu Chen
Fei Wang
Ting Wang
Hanghang Tong
Nan Du
Jun Gao
Mu Li
Rui Li
Hsiang-Fu Yu
Arjun Mukherjee
Wook-Shin Han
Xi Wang
Patrick Lucey
Kai-Wei Chang
Wei Chen
Anitha Kannan
Charu C. Aggarwal
Xiang Ren
Chen Chen
James Cheng
Nikolaj Tatti
Jie Zhu
Rayid Ghani
Jie Gui
Liang Tang
Wei Zhang
Chaochao Chen
Chen Zhang
Chenguang Wang
Xiao Yu
Jianwen Zhang
B. Aditya Prakash
Chuanren Liu
Wei Shen
Vikas Sindhwani
Wei Luo
Can Wang
Lu Qin
Djallel Bouneffouf
Yasuo Tabei
Jiayu Zhou
Amol Ghoting
Mohit Kumar
Hsun Ping Hsieh
Fei Wu
Pengtao Xie
Atsuhiro Takasu
Zheng Wang
Yan Gao
Qiang Zhu
Qing Wang
Yuandong Tian
Xin Luna Dong
Tong Xu
Ping Li
Tao Li
Theodoros Lappas
Hao Yin
Issei Sato
Dan He
Jimmy J. Lin
Lingfei Wu
Charalampos E. Tsourakakis
Leman Akoglu
Qi Liu
Sunil Kumar Gupta
Ying Wei
Dawei Yin
Emre Kiciman
Gideon Dror
Hao Zhang
Xin Jin
Yang Yang
Bo Jin
Edith Cohen
Yu Zheng
Subhabrata Mukherjee
Yanping Chen
Lei Zhang
Shiyu Chang
Sihong Xie
Jie Liu
Yilun Wang
Fuzheng Zhang
Guo-Jun Qi
Zhe Xu
Chao Zhang
Bin Fu
Bin Gao
Christian Böhm
Junming Shao
Bo An
Abdullah Mueen
Julian McAuley
Evangelos E. Papalexakis
Yasuhiro Fujiwara
Hengshu Zhu
Himanshu Jain
Claudia Plant
Carson Kai-Sang Leung
De-Nian Yang
Truyen Tran
Xiaojun Chen
Lei Han
Meng Jiang
Lijun Sun
Chi Wang
Huan Sun
Tianbao Yang
Taehwan Kim
Jacob D. Abernethy
Yao Hu
Jing Wang
Jianhui Chen
Yanjie Fu
Chunyan Wang
Yaliang Li
Liang Du
Hongzhi Yin
Sagar Chaki
Nicola Barbieri
Olivier Chapelle
Yanhao Zhang
Hillol Kargupta
Defu Lian
U Kang
Yi Yang
Kohei Hayashi
Feiping Nie
Pei Yang
Salvatore Scellato
Hongning Wang
Hongjian Wang
Hongyang Zhang
Bang Zhang
Ping Zhang
Varun Chandola
Yuchen Zhang
Xianchao Zhang
Bart Goethals
Sen Wu
Jiawei Zhang
Rui Chen
Yanfang Ye
Yuxiao Dong
Peng Ye
Luigi Di Caro
Min-Ling Zhang
Dimitris S. Papailiopoulos
Wray L. Buntine
Ryan A. Rossi
Edo Liberty
Peng Cui
Jie Tang
Yue Wu
Xuan Song
Yan Liu
Matthijs van Leeuwen
Tao Yang
Tijl De Bie
Li Zheng
Danai Koutra
Qi Wang
Ping Luo
Xiang Li
Jiliang Tang
Cho-Jui Hsieh
Zheng Liu
Yan Zhang
Tian Huang
Sen Yang
Jun Zhu
Yichen Wang
Francesco Bonchi
Hao Wu
Tianyi Zhou
Yang Zhou
Eric P. Xing
Geoffrey I. Webb
Jun Liu
Panayiotis Tsaparas
Lei Yuan
Michael Mitzenmacher
Mao Ye
Xi Chen
Amr Ahmed
Rakesh Agrawal
Qi Li
Zhenhui Li
Peilin Zhao
Lei Cao
Wei Li
Qiaozhu Mei
David F. Gleich
Yu Han
Jing Zhang
Fabian Gieseke
Bin Liu
Jianting Zhang
Shan Jiang
Hang Su
Fan Yang
Furong Li
Yifan Zhang
Shuai Yuan
Naren Ramakrishnan
Yun Sing Koh
Tomoharu Iwata
Ting Chen
H. Brendan McMahan
Siyuan Liu
Ying Sun
Xiao Li
Xiangxu Meng
Zhiyuan Chen
Nesreen K. Ahmed
Ying Cui
Weidong Yang
Yu Wang
Jian Xu
Tianqi Chen
Xiaolong Wang
Li Zhou
Wei Cheng
Chen Zhu
Hai-Tao Zheng
