Zachary C. Lipton
Ankit Garg
Tao Sun
Yan Yang
Jie Shen
Moran Feldman
Tian Lan
Jian Wu
Chang Liu
Aleksandrs Slivkins
Bruce E. Hajek
Huan Xu
Chuang Wang
Xue Wen Chen
Song Han
Liqun Chen
Yuxin Chen
Dan Feldman
Oluwasanmi Koyejo
Chong Wang
Zhiting Hu
Tomas Mikolov
Mohammad Ghavamzadeh
Marco Cuturi
Jason D. Lee
Edward Grefenstette
Katya Scheinberg
Armand Joulin
Chelsea Finn
Yingyu Liang
Qian Yu
Noga Alon
Carlo Ciliberto
Zhirong Yang
Yi Wu
Aurélien Garivier
Maria-Florina Balcan
Yujia Li
Akshay Krishnamurthy
Tao Qin
Arindam Banerjee
George Papandreou
Shipra Agrawal
Zhilin Yang
Peter Anderson
Deguang Kong
Hoi-To Wai
Jisu Kim
Alekh Agarwal
Xin Wang
Mingsheng Long
Cheng Zhang
Alexandr Andoni
Kunal Talwar
Zhan Shi
Kun He
Rafael M. Frongillo
Abhishek Kumar
Zhouchen Lin
Zhe Liu
Jiantao Jiao
Andreas Krause
Nicolas Courty
Ryota Tomioka
Tuo Zhao
Hao Wang
Jianjun Yuan
Nesime Tatbul
Antoine Bordes
Yijun Li
Marcus Rohrbach
Boqing Gong
Hao He
Moritz Hardt
Ziyu Wang
Michael Kapralov
Yisong Yue
Yitong Li
Yoshinobu Kawahara
Aapo Hyvärinen
Yee Whye Teh
Tatsuya Harada
Ilias Diakonikolas
Martin Jaggi
Yu-Xiang Wang
Stefan Heinrich
Piyush Rai
Tim Roughgarden
Richard Socher
Martin Zinkevich
Henrik Ohlsson
Lisa Zhang
Xinhua Zhang
Jianshu Chen
Ilya Sutskever
Ruoyu Sun
Yuhao Wang
Varun Kanade
Wei Wen
Tian Tian
Pierre Baldi
Ali Jalali
Satyen Kale
Tamir Hazan
Yi Xu
Amit Dhurandhar
Emmanuel Abbe
Xu Chen
Mehmet Gönen
Róbert Busa-Fekete
Wen Sun
Liefeng Bo
Nan Du
Yi Ouyang
Vladimir Vovk
Lin Chen
Joseph Wang
Flávio du Pin Calmon
Mu Li
Nan Ding
Wei Sun
Hsiang-Fu Yu
Jianxiong Xiao
Matthew B. Blaschko
Ross B. Girshick
Marek Petrik
Namrata Vaswani
Judy Hoffman
Krzysztof Choromanski
Sewoong Oh
Gang Wang
Gal Elidan
Ming-Yu Liu
Chen Chen
Devavrat Shah
Binbin Lin
Shusen Wang
Le Song
Lixin Fan
Jeffrey Dean
Stefan Harmeling
Jure Leskovec
Kai Fan
José Miguel Hernández-Lobato
Xavier Bresson
Ofer Dekel
Stefanie Jegelka
Shai Shalev-Shwartz
Gao Huang
Krzysztof Dembczyński
Yu Liu
Weiyang Liu
Dan Alistarh
Branislav Kveton
Ambuj Tewari
Bo Chen
Christian Borgs
Weiwei Cheng
David P. Wipf
Bo Xie
Vikas Sindhwani
Gilles Blanchard
Hugo Larochelle
Benjamin Recht
Quoc V. Le
Sanjoy Dasgupta
Jingrui He
Gergely Neu
Jiayu Zhou
Michalis K. Titsias
Lorenzo Rosasco
Ke Jiang
Wei Cao
Congcong Li
Miroslav Dudík
Deanna Needell
Bolin Ding
Hongteng Xu
Yifan Wu
Sergey Levine
Kristen Grauman
Mohammad Norouzi
Chao Qian
Iain Murray
Jun Wang
Cheng Li
Yingzhen Yang
Ping Li
Bo Li
Faisal Khan
