Nick Craswell
Jun Miao
Yiqun Liu
Edgar Meij
Emine Yilmaz
Jin Huang
Julian McAuley
Chang Liu
Kai Lu
Hideo Joho
Ying Zhang
Alistair Moffat
Rodrygo L. T. Santos
Peng Zhang
Meng Yang
Leif Azzopardi
Ming Gao
Matthias Hagen
Wei Chen
Claudia Hauff
Nicola Tonellotto
Hui Yang
Hao Ma
Soumen Chakrabarti
Nina Mishra
Nattiya Kanhabua
Enrique Amigó
Mao Ye
Fumin Shen
Ronan Cummins
Christoph Trattner
Zhou Yu
Besnik Fetahu
Ellen M. Voorhees
Kyumin Lee
Gilad Mishne
Hanwang Zhang
Qiao Liu
Zhumin Chen
Nikolaos Pappas
Fan Zhang
William Webber
Chi Wang
Richard McCreadie
Weinan Zhang
Johannes Leveling
Jian Liang
Simone Teufel
Nan Wang
Nicholas J. Belkin
Young-Min Kim
Cheng Te Li
Vanessa Murdock
Chao Wang
Xutao Li
Ingmar Weber
Guangyou Zhou
Dimitrios Rafailidis
Weiren Yu
Wei Li
Liang Wu
Adish Singla
Roi Blanco
Gabriella Kazai
Bo Long
Bevan Koopman
Katja Hofmann
Manos Tsagkias
Liang Tang
Judit Bar-Ilan
Luca Cagliero
Mark Sanderson
David Vallet
Giovanni Da San Martino
Stéphane Clinchant
Xiao Yang
Falk Scholer
Liu Yang
Shan Jiang
Tetsuya Sakai
Andreas Schmidt
Frank Hopfgartner
Sarvnaz Karimi
Chao Chen
Luo Si
Carsten Eickhoff
Qi Guo
Chia-Jung Lee
James Allan
Xiangmin Zhang
Jing He
Jun Xu
Sumit Bhatia
Donald Metzler
Robert Capra
Wouter Weerkamp
Gang Zhao
Xia Hu
Xiaojun Wan
Mingsheng Long
Hang Li
Kuansan Wang
Xiang Wang
Jia Chen
Julio Gonzalo
Peter Bailey
Christina Lioma
Ricardo Ribeiro
Yang Wang
Chuan Qin
Haggai Roitman
Robert West
Jianguo Wang
Hongning Wang
Zhaochun Ren
Krisztian Balog
Omar Alonso
Laurence Anthony F. Park
Jian Cheng
Qian Zhao
Ying Shen
Chen Wei
Elad Yom-Tov
Ido Guy
Fernando Diaz
Rui Yan
Chirag Shah
Ryen W. White
Liangjie Hong
Jiajin Huang
Wenjie Wang
Zhou Zhao
Martin Halvey
Liqiang Nie
Robin Aly
Morgan Harvey
Chao Liu
Quan Wang
Hua Wang
Norbert Fuhr
Gordon V. Cormack
Lina Yao
Klaus Berberich
Milad Shokouhi
Dongxiang Zhang
Andrew Turpin
Hamed Zamani
Yue Feng
Yang Liu
Ahmed Hassan
Shuaiqiang Wang
Craig Macdonald
Michal Laclavik
Zheng Wei
Wei Lu
Yang Song
Inbal Ronen
Kalervo Järvelin
Jian Wang
Haotian Zhang
Jie Zou
Ning Gao
Yue Shi
Xin Liu
Elena Demidova
Dirk Ahlers
Hui Fang
Peng Yang
Guido Zuccon
Xiaohui Xie
Mostafa Dehghani
Evangelos Kanoulas
Ian Soboroff
Horacio Saggion
David Elsweiler
Krysta M. Svore
Ittai Abraham
Susan T. Dumais
Lei Li
Dayong Wang
Xuanhui Wang
Markus Schedl
Oren Kurland
Shengli Wu
Georg Buscher
Charles L. A. Clarke
Jeff Huang
Dan Wu
Zhiwei Zhang
Chuan Wu
Bin Xu
Lidong Bing
David Fernandes
Peng Cui
Quan Yuan
Pengfei Wang
Philipp Mayr
Yashar Moshfeghi
Yisong Yue
Stephen E. Robertson
Alexander Kotov
Jing Liu
Mi Zhang
Aliaksei Severyn
Dingding Wang
Eugene Agichtein
Jun Wang
Jing Chen
Paul N. Bennett
Jamie Callan
Saptarshi Ghosh
Birger Larsen
Yuan Lin
Diane Kelly
Debasis Ganguly
Alejandro Bellogín
Shuai Li
Hannah Bast
Manish Gupta
Yi Fang
Cheng Li
Nan Zheng
Jiyin He
Deepak Agarwal
Ye Chen
Flavio Chierichetti
Jaap Kamps
Andrew Trotman
Umut Ozertem
Yuanhua Lv
Yue Zhao
Qiang Liu
Vineet Kumar
Dell Zhang
Siliang Tang
Zheng Ye
Qi Zhang
Julián Urbano
Yongfeng Zhang
Jimmy J. Lin
Matthew Lease
Cheng Luo
Dan Zhang
Ben Carterette
Mihajlo Grbovic
Jahna Otterbacher
Tie-Yan Liu
Henning Müller
Alessandro Moschitti
Fei Sun
Qi Wang
Lidan Shou
Fei Huang
Stefano Mizzaro
Xiangnan He
Xin Jin
Bee-Chung Chen
Jiepu Jiang
Lidan Wang
Marijn Koolen
Qin Chen
Xin Luo
Kyle Williams
Gianluca Demartini
Miles Efron
Jacek Gwizdka
Mark D. Smucker
Jannik Strötgen
Jianfeng Gao
Feng Yu
Meng Liu
Ying Wen
Thorsten Joachims
François Rousseau
Jialie Shen
Jinyoung Kim
Ke Zhou
Seung-Hoon Na
Shashank Gupta
Claudio Lucchese
Yuxin Su
Jaime Arguello
Xu Chen
Sandeep Pandey
Rachid Guerraoui
Ivan Vulić
Silviu Cucerzan
Michael Bendersky
Walid Magdy
Makoto Kato
Xiaojie Wang
Rui Zhang
Aixin Sun
Berkant Barla Cambazoglu
Maristella Agosti
David Carmel
Flavio Junqueira
Nicola Ferro
Jingjing Liu
Richard Zanibbi
Dino Ienco
Shuo Zhang
Wei Gao
Francesco Bonchi
Bela Gipp
Guillaume Cabanac
Chao Zhang
Filip Radlinski
Hao Wu
Xiao Bai
